Instrument,800N8573
Date,2023/02/23
Time,12:49:54
Assay #,0001
Application,Geo
Method,Geo
Assay Duration (set),30s
Assay Duration (total actual),41.74s
Detector Temperature,-27.0°C
Ambient Temperature,51.44°C')
Phase Count,3
Phases,"Phase 1(10s): 30.0kV, 40.0uA (Ti:25um/Al:300um)","Phase 2(10s): 50.0kV, 25.0uA (Cu:75um/Ti:25um/Al:200um)","Phase 3(10s): 15.0kV, 32.5uA (No Filter)"
eV Channel Start,-0.18677371740341187,-0.22468970715999603,0.10360568016767502
eV per Channel,19.983224868774414,19.983224868774414,19.983224868774414
 
 
RESULTS:
Z,Compound,Concentration(%),Error(1SD)
5295.367816507816,4073,1066,7542
5315.351041376591,7976,2121,14835
5335.334266245365,14251,3809,26934
5355.31749111414,22470,6069,42656
5375.300715982914,31388,8564,60741
5395.283940851688,38427,10517,74309
5415.267165720463,41054,11471,80472
5435.250390589237,38225,10870,75716
5455.233615458012,31580,8991,62990
5475.216840326786,22458,6599,45863
5495.2000651955605,14313,4095,29573
5515.183290064335,7878,2352,17080
5535.166514933109,4071,1177,8917
5555.149739801884,1982,519,4512
5575.132964670658,927,256,2373
5595.1161895394325,489,128,1405
5615.099414408207,288,93,991
5635.082639276981,265,93,748
5655.065864145756,223,61,614
5675.04908901453,204,73,597
5695.032313883305,198,81,509
5715.015538752079,226,94,550
5734.998763620853,264,99,614
5754.981988489628,364,113,768
5774.965213358402,499,148,959
5794.948438227177,852,230,1487
5814.931663095951,1381,386,2355
5834.9148879647255,2264,618,3699
5854.8981128335,3486,971,5815
5874.881337702274,4780,1442,8101
5894.864562571049,6214,1704,10646
5914.847787439823,7269,2134,12719
5934.831012308598,7803,2238,13368
5954.814237177372,7639,2328,13027
5974.797462046146,6419,1952,11671
5994.780686914921,5052,1526,9350
6014.763911783695,3517,1038,6669
6034.74713665247,2257,735,4311
6054.730361521244,1333,399,2659
6074.7135863900185,775,222,1607
6094.696811258793,477,145,1030
6114.680036127567,311,105,668
6134.663260996342,298,87,565
6154.646485865116,280,91,557
6174.6297107338905,385,101,624
