Position,X,Y
H-3-17,692,682
H-3-18,692,717
I-1-01,402,777
I-1-02,402,812
I-1-03,402,847
I-1-04,402,882
I-1-05,402,917
I-1-06,402,952
I-1-07,437,777
I-1-08,437,812
I-1-09,437,847
I-1-10,437,882
I-1-11,437,917
I-1-12,437,952
I-1-13,472,777
I-1-14,472,812
I-1-15,472,847
I-1-16,472,882
I-1-17,472,917
I-1-18,472,952
I-2-01,512,777
I-2-02,512,812
I-2-03,512,847
I-2-04,512,882
I-2-05,512,917
I-2-06,512,952
I-2-07,547,777
I-2-08,547,812
I-2-09,547,847
I-2-10,547,882
I-2-11,547,917
I-2-12,547,952
I-2-13,582,777
I-2-14,582,812
I-2-15,582,847
I-2-16,582,882
I-2-17,582,917
I-2-18,582,952
I-3-01,622,777
I-3-02,622,812
I-3-03,622,847
I-3-04,622,882
I-3-05,622,917
I-3-06,622,952
I-3-07,657,777
I-3-08,657,812
I-3-09,657,847
I-3-10,657,882
I-3-11,657,917
I-3-12,657,952
I-3-13,692,777
I-3-14,692,812
I-3-15,692,847
I-3-16,692,882
I-3-17,692,917
I-3-18,692,952
J-1-01,402,1013
J-1-02,402,1048
J-1-03,402,1083
J-1-04,402,1118
J-1-05,402,1153
J-1-06,402,1188
J-1-07,437,1013
J-1-08,437,1048
J-1-09,437,1083
J-1-10,437,1118
J-1-11,437,1153
J-1-12,437,1188
J-1-13,472,1013
J-1-14,472,1048
J-1-15,472,1083
J-1-16,472,1118
J-1-17,472,1153
J-1-18,472,1188
J-2-01,512,1013
J-2-02,512,1048
J-2-03,512,1083
J-2-04,512,1118
J-2-05,512,1153
J-2-06,512,1188
J-2-07,547,1013
J-2-08,547,1048
J-2-09,547,1083
J-2-10,547,1118
J-2-11,547,1153
J-2-12,547,1188
J-2-13,582,1013
J-2-14,582,1048
J-2-15,582,1083
J-2-16,582,1118
J-2-17,582,1153
J-2-18,582,1188
J-3-01,622,1013
J-3-02,622,1048
J-3-03,622,1083
J-3-04,622,1118
J-3-05,622,1153
J-3-06,622,1188
J-3-07,657,1013
J-3-08,657,1048
J-3-09,657,1083
J-3-10,657,1118
J-3-11,657,1153
J-3-12,657,1188
J-3-13,692,1013
J-3-14,692,1048
J-3-15,692,1083
J-3-16,692,1118
J-3-17,692,1153
J-3-18,692,1188
,,
,,
,,
,,
,,
,,
,,
,,
,,
