Instrument,800N8573,,RESULTS:,Z,Compound,Concentration(%),Error(1SD)
5035.637729,63,34,723,,,,
5055.620954,57,36,595,,,,
5075.604179,34,28,494,,,,
5095.587404,25,25,475,,,,
5115.570629,27,24,485,,,,
5135.553854,31,33,453,,,,
5155.537079,42,45,484,,,,
5175.520303,44,31,494,,,,
5195.503528,44,24,493,,,,
5215.486753,47,32,521,,,,
5235.469978,57,37,502,,,,
5255.453203,74,50,549,,,,
5275.436428,86,43,586,,,,
5295.419653,122,38,629,,,,
5315.402878,117,50,793,,,,
5335.386102,166,54,942,,,,
5355.369327,203,89,1162,,,,
5375.352552,278,76,1397,,,,
5395.335777,297,119,1611,,,,
5415.319002,312,74,1649,,,,
5435.302227,268,100,1569,,,,
5455.285452,236,67,1368,,,,
5475.268676,155,64,1144,,,,
5495.251901,143,52,919,,,,
5515.235126,91,36,782,,,,
5535.218351,82,34,615,,,,
5555.201576,55,27,547,,,,
5575.184801,46,27,493,,,,
5595.168026,52,32,521,,,,
5615.151251,50,26,488,,,,
5635.134475,47,25,479,,,,
5655.1177,41,27,442,,,,
5675.100925,50,22,482,,,,
5695.08415,41,25,532,,,,
5715.067375,38,31,539,,,,
5735.0506,38,30,499,,,,
5755.033825,48,29,516,,,,
5775.01705,48,24,492,,,,
5795.000274,74,37,581,,,,
5814.983499,91,32,644,,,,
5834.966724,108,34,715,,,,
5854.949949,145,44,788,,,,
5874.933174,157,64,877,,,,
5894.916399,210,55,923,,,,
5914.899624,212,62,1003,,,,
5934.882848,176,65,933,,,,
5954.866073,164,64,906,,,,
5974.849298,127,48,772,,,,
5994.832523,124,43,738,,,,
6014.815748,111,40,671,,,,
6034.798973,107,48,633,,,,
6054.782198,139,50,691,,,,
6074.765423,127,55,679,,,,
6094.748647,156,52,738,,,,
6114.731872,183,52,740,,,,
6134.715097,234,54,848,,,,
6154.698322,257,75,961,,,,
6174.681547,350,96,1088,,,,
6194.664772,566,135,1361,,,,
6214.647997,994,191,2259,,,,
6234.631222,1927,421,3794,,,,
6254.614446,4089,849,7438,,,,
6274.597671,8568,1846,15153,,,,
6294.580896,16216,3507,28521,,,,
6314.564121,28095,6246,49668,,,,
6334.547346,43845,9836,78828,,,,
6354.530571,61364,14094,111021,,,,
6374.513796,75972,17435,139852,,,,
6394.49702,83897,19511,156758,,,,
6414.480245,82213,19587,155742,,,,
6434.46347,72360,17014,138600,,,,
6454.446695,56397,13511,110314,,,,
6474.42992,38634,9461,77606,,,,
6494.413145,24276,5883,49947,,,,
6514.39637,13363,3270,28863,,,,
6534.379595,6622,1668,15479,,,,
6554.362819,3340,776,7857,,,,
6574.346044,1520,352,3948,,,,
6594.329269,774,152,2260,,,,
6614.312494,454,109,1480,,,,
6634.295719,280,82,1046,,,,
6654.278944,243,62,867,,,,
6674.262169,221,49,745,,,,
6694.245393,178,51,675,,,,
6714.228618,181,53,697,,,,
6734.211843,206,45,653,,,,
6754.195068,225,67,662,,,,
6774.178293,224,70,709,,,,
6794.161518,238,72,782,,,,
6814.144743,291,82,800,,,,
6834.127968,347,99,855,,,,
6854.111192,416,103,1045,,,,
6874.094417,570,147,1259,,,,
6894.077642,862,211,1670,,,,
6914.060867,1340,326,2497,,,,
6934.044092,2216,519,3950,,,,
6954.027317,3584,833,6103,,,,
6974.010542,5712,1326,9449,,,,
6993.993767,8248,1875,13568,,,,
7013.976991,10387,2485,17785,,,,
7033.960216,12472,2996,20822,,,,
7053.943441,13281,3207,23091,,,,
7073.926666,12666,3145,22127,,,,
7093.909891,11151,2833,19905,,,,
