Instrument,800N8573,,RESULTS:,Z,Compound,Concentration(%),Error(1SD)
32812.3203,3,106,2,,,,
32832.30352,5,116,4,,,,
32852.28675,1,104,1,,,,
32872.26997,1,99,2,,,,
32892.2532,1,105,3,,,,
32912.23642,3,98,2,,,,
32932.21965,2,98,1,,,,
32952.20287,3,97,2,,,,
32972.1861,4,96,5,,,,
32992.16932,3,89,4,,,,
33012.15255,2,84,3,,,,
33032.13577,4,113,5,,,,
33052.119,3,103,1,,,,
33072.10222,2,89,2,,,,
33092.08545,2,109,4,,,,
33112.06867,0,92,4,,,,
33132.05189,3,118,2,,,,
33152.03512,3,92,2,,,,
33172.01834,1,93,2,,,,
33192.00157,2,112,2,,,,
33211.98479,4,84,5,,,,
33231.96802,3,101,2,,,,
33251.95124,1,107,2,,,,
33271.93447,3,96,3,,,,
33291.91769,4,96,3,,,,
33311.90092,1,107,1,,,,
33331.88414,0,89,2,,,,
33351.86737,1,102,3,,,,
33371.85059,4,96,0,,,,
33391.83382,2,93,4,,,,
33411.81704,1,100,0,,,,
33431.80027,6,116,3,,,,
33451.78349,3,101,1,,,,
33471.76672,1,109,4,,,,
33491.74994,0,85,3,,,,
33511.73317,2,77,1,,,,
33531.71639,2,106,1,,,,
33551.69962,2,105,3,,,,
33571.68284,2,95,1,,,,
33591.66607,1,96,5,,,,
33611.64929,3,105,3,,,,
33631.63252,1,92,3,,,,
33651.61574,1,91,1,,,,
33671.59897,0,92,1,,,,
33691.58219,1,95,1,,,,
33711.56542,1,93,4,,,,
33731.54864,1,84,7,,,,
33751.53187,3,92,2,,,,
33771.51509,1,96,3,,,,
33791.49832,5,93,4,,,,
33811.48154,1,96,3,,,,
33831.46477,1,113,2,,,,
33851.44799,1,88,3,,,,
33871.43122,1,95,1,,,,
33891.41444,1,84,1,,,,
33911.39766,3,79,3,,,,
33931.38089,2,110,2,,,,
33951.36411,0,94,2,,,,
33971.34734,2,116,2,,,,
33991.33056,2,119,1,,,,
34011.31379,1,105,3,,,,
34031.29701,4,85,1,,,,
34051.28024,2,103,4,,,,
34071.26346,1,119,3,,,,
34091.24669,1,93,2,,,,
34111.22991,0,102,1,,,,
34131.21314,1,100,3,,,,
34151.19636,1,101,1,,,,
34171.17959,0,101,0,,,,
34191.16281,0,89,2,,,,
34211.14604,1,84,3,,,,
34231.12926,0,74,4,,,,
34251.11249,2,95,3,,,,
34271.09571,1,89,4,,,,
34291.07894,1,91,1,,,,
34311.06216,1,103,2,,,,
34331.04539,3,78,1,,,,
34351.02861,2,92,1,,,,
34371.01184,2,98,0,,,,
34390.99506,0,98,3,,,,
34410.97829,1,84,1,,,,
34430.96151,2,87,2,,,,
34450.94474,3,108,1,,,,
34470.92796,0,91,0,,,,
34490.91119,1,98,2,,,,
34510.89441,5,107,1,,,,
34530.87764,1,86,3,,,,
34550.86086,1,84,0,,,,
34570.84409,1,89,3,,,,
34590.82731,0,85,4,,,,
34610.81054,4,99,3,,,,
34630.79376,0,94,2,,,,
34650.77698,1,97,2,,,,
34670.76021,1,93,5,,,,
34690.74343,2,106,3,,,,
34710.72666,1,84,1,,,,
34730.70988,1,93,2,,,,
34750.69311,0,98,4,,,,
34770.67633,0,110,1,,,,
34790.65956,2,98,0,,,,
34810.64278,1,98,2,,,,
34830.62601,2,112,2,,,,
34850.60923,1,96,1,,,,
34870.59246,4,91,3,,,,
34890.57568,0,104,3,,,,
34910.55891,1,97,0,,,,
34930.54213,2,87,0,,,,
34950.52536,0,82,3,,,,
34970.50858,0,91,0,,,,
34990.49181,0,81,2,,,,
35010.47503,0,106,2,,,,
35030.45826,0,84,5,,,,
35050.44148,2,97,2,,,,
35070.42471,1,77,3,,,,
35090.40793,1,101,1,,,,
35110.39116,0,93,2,,,,
35130.37438,0,100,2,,,,
35150.35761,0,80,1,,,,
35170.34083,0,86,0,,,,
35190.32406,0,97,2,,,,
35210.30728,1,95,2,,,,
35230.29051,1,89,0,,,,
35250.27373,1,88,1,,,,
35270.25696,1,79,2,,,,
35290.24018,1,78,3,,,,
35310.22341,0,90,2,,,,
35330.20663,0,90,3,,,,
35350.18986,0,120,1,,,,
35370.17308,1,95,3,,,,
35390.15631,0,86,0,,,,
35410.13953,1,93,3,,,,
35430.12275,1,99,2,,,,
35450.10598,1,85,0,,,,
35470.0892,1,91,2,,,,
35490.07243,0,81,1,,,,
35510.05565,0,99,3,,,,
35530.03888,1,93,1,,,,
35550.0221,0,72,0,,,,
35570.00533,0,78,3,,,,
35589.98855,0,92,0,,,,
35609.97178,1,107,1,,,,
35629.955,0,93,4,,,,
35649.93823,0,85,0,,,,
35669.92145,0,92,1,,,,
35689.90468,0,76,2,,,,
35709.8879,0,88,2,,,,
35729.87113,0,86,2,,,,
35749.85435,0,76,0,,,,
35769.83758,0,80,2,,,,
35789.8208,1,82,3,,,,
35809.80403,1,98,2,,,,
35829.78725,2,74,1,,,,
35849.77048,0,98,1,,,,
35869.7537,0,95,0,,,,
35889.73693,2,95,2,,,,
35909.72015,2,90,0,,,,
35929.70338,3,85,1,,,,
35949.6866,3,88,0,,,,
35969.66983,1,75,2,,,,
35989.65305,1,97,0,,,,
36009.63628,1,69,1,,,,
36029.6195,0,79,0,,,,
36049.60273,0,85,2,,,,
36069.58595,0,92,2,,,,
36089.56918,2,75,2,,,,
36109.5524,2,86,1,,,,
36129.53563,0,82,1,,,,
36149.51885,0,92,1,,,,
36169.50207,0,100,2,,,,
36189.4853,1,90,1,,,,
36209.46852,1,82,1,,,,
36229.45175,1,102,4,,,,
36249.43497,1,81,1,,,,
36269.4182,1,78,1,,,,
36289.40142,0,101,3,,,,
36309.38465,0,92,1,,,,
36329.36787,0,90,2,,,,
36349.3511,1,102,0,,,,
36369.33432,1,76,1,,,,
36389.31755,1,89,1,,,,
36409.30077,0,87,2,,,,
36429.284,3,104,2,,,,
36449.26722,1,85,1,,,,
36469.25045,0,102,2,,,,
36489.23367,2,103,2,,,,
36509.2169,1,95,1,,,,
36529.20012,0,100,0,,,,
36549.18335,1,88,1,,,,
36569.16657,0,102,3,,,,
36589.1498,0,91,1,,,,
36609.13302,0,88,3,,,,
36629.11625,4,68,1,,,,
36649.09947,0,77,1,,,,
36669.0827,1,89,0,,,,
36689.06592,1,81,0,,,,
36709.04915,0,83,1,,,,
36729.03237,1,68,0,,,,
36749.0156,1,94,4,,,,
36768.99882,0,91,2,,,,
36788.98205,4,81,1,,,,
36808.96527,1,79,2,,,,
36828.9485,0,71,2,,,,
36848.93172,1,93,2,,,,
36868.91495,2,62,2,,,,
36888.89817,0,90,3,,,,
36908.8814,0,83,1,,,,
36928.86462,0,80,2,,,,
36948.84784,2,78,2,,,,
36968.83107,0,77,0,,,,
36988.81429,0,78,3,,,,
37008.79752,0,75,3,,,,
37028.78074,0,80,3,,,,
37048.76397,0,76,4,,,,
37068.74719,1,84,2,,,,
37088.73042,1,85,4,,,,
37108.71364,1,83,1,,,,
37128.69687,0,81,0,,,,
37148.68009,2,74,1,,,,
37168.66332,1,80,0,,,,
37188.64654,0,86,0,,,,
37208.62977,1,75,1,,,,
37228.61299,0,76,3,,,,
37248.59622,2,78,0,,,,
37268.57944,0,62,2,,,,
37288.56267,1,70,2,,,,
37308.54589,0,76,4,,,,
37328.52912,0,79,1,,,,
37348.51234,0,63,0,,,,
37368.49557,1,73,2,,,,
37388.47879,0,72,4,,,,
37408.46202,0,81,2,,,,
37428.44524,1,79,4,,,,
37448.42847,0,80,1,,,,
37468.41169,0,64,2,,,,
37488.39492,0,67,2,,,,
37508.37814,1,77,3,,,,
37528.36137,1,86,2,,,,
37548.34459,1,64,3,,,,
37568.32782,0,91,1,,,,
37588.31104,1,81,0,,,,
37608.29427,1,76,0,,,,
37628.27749,1,73,1,,,,
37648.26072,1,70,1,,,,
37668.24394,0,75,5,,,,
37688.22716,1,81,2,,,,
37708.21039,2,76,1,,,,
37728.19361,0,70,0,,,,
37748.17684,0,67,3,,,,
37768.16006,0,76,1,,,,
37788.14329,1,79,4,,,,
37808.12651,0,77,1,,,,
37828.10974,2,78,1,,,,
37848.09296,1,79,2,,,,
37868.07619,0,70,1,,,,
37888.05941,1,66,2,,,,
37908.04264,3,61,2,,,,
37928.02586,0,86,1,,,,
37948.00909,0,67,4,,,,
37967.99231,0,66,1,,,,
37987.97554,1,78,2,,,,
38007.95876,0,84,0,,,,
38027.94199,1,75,2,,,,
38047.92521,0,69,1,,,,
38067.90844,1,73,1,,,,
38087.89166,2,58,1,,,,
38107.87489,1,77,5,,,,
38127.85811,0,81,2,,,,
38147.84134,0,76,2,,,,
38167.82456,0,70,2,,,,
38187.80779,0,71,0,,,,
38207.79101,2,67,1,,,,
38227.77424,1,63,3,,,,
38247.75746,0,67,2,,,,
38267.74069,1,74,0,,,,
38287.72391,2,72,0,,,,
38307.70714,1,59,1,,,,
38327.69036,0,61,0,,,,
38347.67359,3,73,2,,,,
38367.65681,1,82,1,,,,
38387.64004,0,76,0,,,,
38407.62326,0,70,1,,,,
38427.60649,3,69,0,,,,
38447.58971,0,48,1,,,,
38467.57293,0,71,1,,,,
38487.55616,0,76,1,,,,
38507.53938,0,57,1,,,,
38527.52261,0,74,2,,,,
38547.50583,1,65,2,,,,
38567.48906,2,57,1,,,,
38587.47228,1,74,0,,,,
38607.45551,0,64,1,,,,
38627.43873,1,72,1,,,,
38647.42196,0,80,3,,,,
38667.40518,1,58,1,,,,
38687.38841,0,62,1,,,,
38707.37163,0,72,1,,,,
38727.35486,1,63,3,,,,
38747.33808,0,71,0,,,,
38767.32131,0,67,1,,,,
38787.30453,1,70,2,,,,
38807.28776,1,75,2,,,,
38827.27098,1,65,2,,,,
38847.25421,0,81,0,,,,
38867.23743,2,88,2,,,,
38887.22066,0,67,1,,,,
38907.20388,0,63,1,,,,
38927.18711,1,62,1,,,,
38947.17033,0,64,2,,,,
38967.15356,1,70,1,,,,
38987.13678,2,58,1,,,,
39007.12001,1,62,0,,,,
39027.10323,2,68,0,,,,
39047.08646,0,52,2,,,,
39067.06968,1,63,2,,,,
39087.05291,2,64,0,,,,
39107.03613,1,60,2,,,,
39127.01936,0,61,1,,,,
39147.00258,0,58,1,,,,
39166.98581,2,69,1,,,,
39186.96903,0,61,0,,,,
39206.95225,0,64,1,,,,
39226.93548,1,61,1,,,,
39246.9187,0,61,0,,,,
39266.90193,0,59,1,,,,
39286.88515,3,64,1,,,,
39306.86838,1,46,0,,,,
39326.8516,3,69,2,,,,
39346.83483,1,74,1,,,,
39366.81805,1,53,3,,,,
39386.80128,0,65,5,,,,
39406.7845,0,72,1,,,,
39426.76773,0,58,1,,,,
39446.75095,0,65,0,,,,
39466.73418,0,68,3,,,,
39486.7174,0,70,2,,,,
39506.70063,1,67,1,,,,
39526.68385,0,46,1,,,,
39546.66708,1,50,1,,,,
39566.6503,1,52,2,,,,
39586.63353,0,56,2,,,,
39606.61675,0,71,0,,,,
39626.59998,2,53,1,,,,
39646.5832,0,54,1,,,,
39666.56643,2,60,2,,,,
39686.54965,1,64,0,,,,
39706.53288,0,58,2,,,,
39726.5161,0,54,2,,,,
39746.49933,1,61,1,,,,
39766.48255,1,47,1,,,,
39786.46578,0,68,0,,,,
39806.449,0,53,1,,,,
39826.43223,0,66,0,,,,
39846.41545,0,54,1,,,,
39866.39868,0,61,0,,,,
39886.3819,1,63,3,,,,
39906.36513,0,57,1,,,,
39926.34835,1,55,1,,,,
39946.33158,0,56,1,,,,
39966.3148,1,53,2,,,,
39986.29802,2,61,1,,,,
40006.28125,0,49,1,,,,
40026.26447,0,46,2,,,,
40046.2477,0,52,0,,,,
40066.23092,0,50,1,,,,
40086.21415,1,50,2,,,,
40106.19737,0,45,0,,,,
40126.1806,1,49,2,,,,
40146.16382,1,48,0,,,,
40166.14705,0,45,0,,,,
40186.13027,1,54,0,,,,
40206.1135,0,62,1,,,,
40226.09672,0,51,1,,,,
40246.07995,0,58,0,,,,
40266.06317,1,60,0,,,,
40286.0464,1,65,0,,,,
40306.02962,0,51,0,,,,
40326.01285,0,53,0,,,,
40345.99607,0,46,0,,,,
40365.9793,1,47,0,,,,
40385.96252,1,37,1,,,,
40405.94575,0,61,3,,,,
40425.92897,0,58,2,,,,
40445.9122,0,41,0,,,,
40465.89542,1,52,0,,,,
40485.87865,1,59,0,,,,
40505.86187,0,58,1,,,,
40525.8451,1,71,1,,,,
40545.82832,1,48,2,,,,
40565.81155,0,53,1,,,,
40585.79477,0,53,0,,,,
40605.778,1,49,4,,,,
40625.76122,1,38,1,,,,
40645.74445,0,47,0,,,,
40665.72767,0,35,1,,,,
40685.7109,0,49,0,,,,
40705.69412,0,60,2,,,,
40725.67735,0,54,0,,,,
40745.66057,0,60,0,,,,
40765.64379,0,51,1,,,,
40785.62702,0,44,1,,,,
40805.61024,2,43,1,,,,
40825.59347,1,43,1,,,,
40845.57669,0,50,0,,,,
40865.55992,0,39,0,,,,
40885.54314,1,56,1,,,,
40905.52637,2,59,0,,,,
