Instrument,800N8573
Date,2023/02/23
Time,12:47:14
Assay #,0001
Application,Geo
Method,Geo
Assay Duration (set),30s
Assay Duration (total actual),42.65s
Phase Count,3
Phases,"Phase 1(10s): 30.0kV, 40.0uA (Ti:25um/Al:300um)","Phase 2(10s): 50.0kV, 25.0uA (Cu:75um/Ti:25um/Al:200um)","Phase 3(10s): 15.0kV, 32.5uA (No Filter)"
eV Channel Start,0.21256723999977112,0.10640470683574677,0.46022316813468933
eV per Channel,19.983224868774414,19.983224868774414,19.983224868774414
Detector Temperature,{'-27.5°C'}
Ambient Temperature,"{""51.33°C')""}"
 
 
RESULTS:
Z,Compound,Concentration(%),Error(1SD)
6994.341271311045,7653,1987,8418
7014.324496179819,10154,2608,11352
7034.3077210485935,12177,3393,13573
7054.290945917368,12985,3506,14626
7074.274170786142,12694,3491,14685
7094.257395654917,11221,2997,12857
7114.240620523691,8927,2519,10540
7134.223845392466,6266,1836,7688
7154.20707026124,4200,1180,5173
7174.190295130014,2505,680,3033
7194.173519998789,1296,383,1663
7214.156744867563,682,194,1009
7234.139969736338,350,96,574
7254.123194605112,207,57,331
7274.1064194738865,152,41,239
7294.089644342661,160,44,209
7314.072869211435,225,64,285
7334.05609408021,441,93,437
7354.039318948984,858,173,732
7374.022543817759,1435,335,1292
7394.005768686533,2308,521,1980
7413.988993555307,3260,788,2914
7433.972218424082,4397,1060,3699
7453.955443292856,5204,1244,4532
7473.938668161631,5427,1297,4888
7493.921893030405,5384,1308,4894
7513.9051178991795,4571,1192,4401
7533.888342767954,3695,903,3534
7553.871567636728,2582,682,2542
7573.854792505503,1748,442,1702
7593.838017374277,1099,286,1113
7613.8212422430515,571,166,581
7633.804467111826,277,56,394
7653.7876919806,180,49,256
7673.770916849375,87,26,244
7693.754141718149,59,14,185
7713.737366586924,42,22,188
7733.720591455698,38,12,172
7753.703816324472,21,22,168
7773.687041193247,18,13,158
7793.670266062021,18,12,153
7813.653490930796,28,15,135
7833.63671579957,17,16,114
7853.6199406683445,24,19,116
7873.603165537119,26,12,118
7893.586390405893,26,12,99
7913.569615274668,34,13,97
7933.552840143442,46,21,114
7953.536065012217,50,17,114
7973.519289880991,74,26,130
7993.502514749765,77,36,126
8013.48573961854,93,44,152
8033.468964487314,132,37,160
8053.452189356089,136,43,207
8073.435414224863,122,38,190
8093.4186390936375,105,47,179
8113.401863962412,143,49,201
8133.385088831186,167,43,261
8153.368313699961,239,68,279
8173.351538568735,325,86,374
8193.33476343751,465,115,504
8213.317988306284,639,154,665
8233.301213175058,782,220,745
8253.284438043833,951,246,834
8273.267662912607,965,232,865
8293.250887781382,889,207,794
8313.234112650156,722,184,701
8333.21733751893,557,143,645
8353.200562387705,426,115,479
8373.18378725648,277,94,342
8393.167012125254,166,59,269
8413.150236994028,101,34,206
8433.133461862803,65,30,134
8453.116686731577,44,16,139
8473.099911600351,26,28,110
8493.083136469126,23,12,92
8513.0663613379,16,9,94
8533.049586206675,14,14,103
8553.032811075449,9,13,98
8573.016035944223,9,15,94
8592.999260812998,9,14,103
8612.982485681772,10,13,118
8632.965710550547,17,10,135
8652.948935419321,23,16,158
8672.932160288095,19,12,198
8692.91538515687,10,12,179
8712.898610025644,18,11,215
8732.881834894419,13,14,179
8752.865059763193,12,13,194
8772.848284631968,16,10,165
8792.831509500742,13,8,189
8812.814734369516,21,14,170
8832.79795923829,17,10,169
8852.781184107065,14,11,145
8872.76440897584,26,20,133
8892.747633844614,24,16,128
8912.730858713388,20,19,129
8932.714083582163,22,23,142
8952.697308450937,28,12,135
8972.680533319712,18,18,141
8992.663758188486,17,9,146
9012.64698305726,15,8,128
9032.630207926035,17,15,115
9052.61343279481,16,9,155
9072.596657663584,10,16,178
9092.579882532358,15,16,188
9112.563107401133,12,11,170
9132.546332269907,8,12,143
9152.529557138681,15,10,187
9172.512782007456,28,9,139
9192.49600687623,17,12,157
9212.479231745005,17,9,141
9232.462456613779,15,16,151
9252.445681482553,15,11,158
9272.428906351328,16,12,151
9292.412131220102,11,10,168
9312.395356088877,19,8,165
9332.378580957651,11,12,170
9352.361805826426,11,10,162
9372.3450306952,17,13,143
9392.328255563974,15,7,148
9412.311480432749,6,9,129
9432.294705301523,13,11,104
9452.277930170298,17,9,124
9472.261155039072,14,10,127
9492.244379907846,10,6,104
9512.22760477662,16,14,105
9532.210829645395,16,13,116
9552.19405451417,15,10,99
9572.177279382944,29,17,102
9592.160504251719,23,9,108
9612.143729120493,19,16,119
9632.126953989267,34,20,119
9652.110178858042,34,14,115
9672.093403726816,34,16,116
9692.07662859559,35,18,99
9712.059853464365,29,27,119
9732.04307833314,28,18,124
9752.026303201914,31,28,137
