Assay #,Serial #,Date,Time,Application,Method,Duration (Actual),Ti,Ti Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Zr,Zr Err,Mo,Mo Err,Ru,Ru Err,Rh,Rh Err,Pd,Pd Err,Ag,Ag Err,Cd,Cd Err,In,In Err,Sn,Sn Err,Sb,Sb Err,W,W Err,Re,Re Err,Ir,Ir Err,Pt,Pt Err,Au,Au Err,Hg,Hg Err,Pb,Pb Err
0011,900G11501,2023/06/01,16:42:32,Precious Metals 2,Auto,17.54s,0.0,1000000.0,227504.0,462.0,9256.0,195.0,669983.0,1028.0,9374.0,245.0,53142.0,298.0,0.0,1000000.0,0.0,7.0,0.0,15.0,30741.0,89.0,0.0,1000000.0,0.0,91.0,0.0,107.0,0.0,105.0,0.0,1000000.0,0.0,1000000.0,0.0,1000000.0,0.0,196.0,0.0,109.0,0.0,40.0,0.0,22.0,0.0,22.0,0.0,48.0,0.0,1000000.0,0.0,1000000.0
0012,900G11501,2023/06/01,16:42:51,Precious Metals 2,Auto,17.58s,0.0,78.0,226666.0,461.0,9177.0,195.0,670994.0,1029.0,8731.0,244.0,53698.0,300.0,0.0,1000000.0,0.0,8.0,0.0,15.0,30734.0,89.0,0.0,1000000.0,0.0,91.0,0.0,106.0,0.0,105.0,0.0,1000000.0,0.0,1000000.0,0.0,151.0,0.0,288.0,0.0,110.0,0.0,39.0,0.0,27.0,0.0,23.0,0.0,48.0,0.0,1000000.0,0.0,1000000.0
0013,900G11501,2023/06/01,16:43:12,Precious Metals 2,Auto,17.49s,0.0,1000000.0,226375.0,460.0,9684.0,196.0,671384.0,1029.0,8730.0,244.0,53265.0,299.0,0.0,1000000.0,0.0,8.0,0.0,15.0,30562.0,88.0,0.0,1000000.0,0.0,90.0,0.0,106.0,0.0,106.0,0.0,1000000.0,0.0,1000000.0,0.0,152.0,0.0,286.0,0.0,111.0,0.0,38.0,0.0,28.0,0.0,23.0,0.0,48.0,0.0,1000000.0,0.0,1000000.0
0014,900G11501,2023/06/01,16:43:31,Precious Metals 2,Auto,17.59s,0.0,1000000.0,227440.0,461.0,9393.0,195.0,669420.0,1027.0,9540.0,245.0,53367.0,299.0,0.0,1000000.0,0.0,8.0,0.0,15.0,30839.0,89.0,0.0,1000000.0,0.0,91.0,0.0,108.0,0.0,107.0,0.0,98.0,0.0,1000000.0,0.0,1000000.0,0.0,194.0,0.0,108.0,0.0,38.0,0.0,28.0,0.0,25.0,0.0,48.0,0.0,1000000.0,0.0,1000000.0
0015,900G11501,2023/06/01,16:43:50,Precious Metals 2,Auto,17.53s,0.0,1000000.0,226744.0,461.0,9175.0,195.0,671119.0,1030.0,9195.0,245.0,53018.0,299.0,0.0,1000000.0,0.0,8.0,0.0,19.0,30750.0,89.0,0.0,1000000.0,0.0,91.0,0.0,108.0,0.0,105.0,0.0,1000000.0,0.0,1000000.0,0.0,158.0,0.0,290.0,0.0,110.0,0.0,39.0,0.0,24.0,0.0,23.0,0.0,48.0,0.0,1000000.0,0.0,1000000.0
0016,900G11501,2023/06/01,16:44:21,Precious Metals 2,Auto,17.57s,0.0,1000000.0,226595.0,461.0,9399.0,196.0,670325.0,1030.0,9268.0,245.0,53742.0,301.0,0.0,1000000.0,0.0,8.0,0.0,19.0,30670.0,89.0,0.0,1000000.0,0.0,92.0,0.0,107.0,0.0,106.0,0.0,1000000.0,0.0,1000000.0,0.0,155.0,0.0,193.0,0.0,109.0,0.0,38.0,0.0,29.0,0.0,25.0,0.0,48.0,0.0,1000000.0,0.0,1000000.0
0017,900G11501,2023/06/01,16:44:42,Precious Metals 2,Auto,17.43s,0.0,1000000.0,226614.0,461.0,9420.0,195.0,670534.0,1029.0,9153.0,244.0,53595.0,300.0,0.0,1000000.0,0.0,8.0,0.0,19.0,30684.0,89.0,0.0,1000000.0,0.0,1000000.0,0.0,1000000.0,0.0,73.0,0.0,1000000.0,0.0,1000000.0,0.0,156.0,0.0,198.0,0.0,111.0,0.0,38.0,0.0,22.0,0.0,23.0,0.0,50.0,0.0,1000000.0,0.0,1000000.0
0018,900G11501,2023/06/01,16:45:01,Precious Metals 2,Auto,17.55s,0.0,1000000.0,226640.0,461.0,9295.0,196.0,671539.0,1031.0,8880.0,245.0,52854.0,299.0,0.0,1000000.0,0.0,8.0,0.0,15.0,30792.0,89.0,0.0,1000000.0,0.0,91.0,0.0,107.0,0.0,73.0,0.0,97.0,0.0,1000000.0,0.0,150.0,0.0,192.0,0.0,112.0,0.0,39.0,0.0,29.0,0.0,22.0,0.0,49.0,0.0,1000000.0,0.0,1000000.0
0019,900G11501,2023/06/01,16:45:21,Precious Metals 2,Auto,17.53s,0.0,1000000.0,226637.0,462.0,9241.0,196.0,671010.0,1031.0,8562.0,244.0,53839.0,301.0,0.0,1000000.0,0.0,8.0,0.0,15.0,30711.0,89.0,0.0,1000000.0,0.0,91.0,0.0,108.0,0.0,105.0,0.0,1000000.0,0.0,1000000.0,0.0,153.0,0.0,286.0,0.0,111.0,0.0,39.0,0.0,23.0,0.0,24.0,0.0,49.0,0.0,1000000.0,0.0,1000000.0
0020,900G11501,2023/06/01,16:45:40,Precious Metals 2,Auto,17.54s,0.0,1000000.0,227245.0,462.0,9753.0,196.0,670000.0,1029.0,8608.0,243.0,53406.0,299.0,0.0,1000000.0,0.0,8.0,0.0,15.0,30988.0,89.0,0.0,1000000.0,0.0,1000000.0,0.0,106.0,0.0,103.0,0.0,1000000.0,0.0,1000000.0,0.0,1000000.0,0.0,192.0,0.0,111.0,0.0,38.0,0.0,25.0,0.0,24.0,0.0,48.0,0.0,1000000.0,0.0,1000000.0
0021,900G11501,2023/06/01,16:45:59,Precious Metals 2,Auto,17.53s,0.0,1000000.0,226465.0,461.0,9268.0,195.0,670857.0,1030.0,9242.0,245.0,53197.0,299.0,0.0,1000000.0,0.0,8.0,0.0,15.0,30971.0,89.0,0.0,1000000.0,0.0,92.0,0.0,110.0,0.0,107.0,0.0,1000000.0,0.0,1000000.0,0.0,1000000.0,0.0,193.0,0.0,111.0,0.0,40.0,0.0,24.0,0.0,24.0,0.0,49.0,0.0,1000000.0,0.0,1000000.0
0022,900G11501,2023/06/01,16:46:18,Precious Metals 2,Auto,17.55s,0.0,1000000.0,226581.0,461.0,9052.0,195.0,670911.0,1029.0,9256.0,245.0,53277.0,299.0,0.0,1000000.0,0.0,7.0,0.0,15.0,30922.0,89.0,0.0,1000000.0,0.0,91.0,0.0,108.0,0.0,109.0,0.0,97.0,0.0,1000000.0,0.0,1000000.0,0.0,194.0,0.0,111.0,0.0,38.0,0.0,25.0,0.0,26.0,0.0,49.0,0.0,1000000.0,0.0,1000000.0
0023,900G11501,2023/06/01,16:46:37,Precious Metals 2,Auto,17.62s,0.0,1000000.0,227493.0,463.0,9021.0,195.0,670015.0,1030.0,9466.0,246.0,53234.0,300.0,0.0,1000000.0,0.0,8.0,0.0,19.0,30770.0,89.0,0.0,1000000.0,0.0,91.0,0.0,146.0,0.0,103.0,0.0,1000000.0,0.0,1000000.0,0.0,156.0,0.0,194.0,0.0,110.0,0.0,40.0,0.0,28.0,0.0,23.0,0.0,49.0,0.0,1000000.0,0.0,1000000.0
0024,900G11501,2023/06/01,16:46:42,Precious Metals 2,Auto,3.73s,0.0,1000000.0,225011.0,1290.0,9758.0,555.0,674615.0,2901.0,5653.0,697.0,53861.0,847.0,0.0,1000000.0,0.0,22.0,0.0,39.0,31101.0,251.0,0.0,1000000.0,0.0,250.0,0.0,403.0,0.0,284.0,0.0,275.0,0.0,1000000.0,0.0,462.0,0.0,538.0,0.0,309.0,0.0,108.0,0.0,81.0,0.0,62.0,0.0,1000000.0,0.0,1000000.0,0.0,1000000.0
